model,feature,importance_mean,importance_std,rank
Decision Tree,Crop,134.03608165094101,18.048684493730782,1
Decision Tree,N,21.756914151109278,5.78701674764372,2
Decision Tree,Fertilizer,19.15141579629212,8.293678272304534,3
Decision Tree,avg_temp_c,4.33275186563015,1.680441783956971,4
Decision Tree,total_rainfall_mm,3.7831212224507467,0.9372348484553037,5
Decision Tree,Area,1.1305879070960752,0.652932381853377,6
Decision Tree,P,0.7702063526547296,0.21507818136520263,7
Decision Tree,avg_humidity_percent,0.7329042105057706,0.04728368218675705,8
Decision Tree,pH,0.21353295980480577,0.03329360583473024,9
Decision Tree,Season,0.19574079773008285,0.05300088953178739,10
Decision Tree,Pesticide,0.07315253877183973,0.01706182528929856,11
Decision Tree,State,0.05833051462747196,0.05883861624867918,12
Decision Tree,Annual_Rainfall,0.052555919372895055,0.021087579574976985,13
Decision Tree,Crop_Year,0.0,0.0,14
Decision Tree,K,-0.21509158644771578,0.13493940608174532,15
